class_name;project_name;class_id;class_path;sonar_td_minutes;squore_td_minutes;cast_td_minutes;commits_count;code_churn_avg;contributors_count;contributors_experience;hunks_count;issue_tracker_issues;cbo;wmc;dit;rfc;lcom;total_methods;max_nested_blocks;total_variables;total_refactorings;duplicated_lines;comment_lines;ncloc;high-TD
DateUtil.java;xxl-job;AW-Z3VGdrInABnR0cIY6;xxl-job-core/src/main/java/com/xxl/job/core/util/DateUtil.java;34;40;1201.2;5;30;2;97.8;1;0;2;18;1;20;51;11;2;7;3;0;51;75;0
UserController.java;xxl-job;AW-Z3VGbrInABnR0cIYM;xxl-job-admin/src/main/java/com/xxl/job/admin/controller/UserController.java;33;122;1246.5;4;43;1;100;4;0;13;22;1;23;0;6;2;12;54;0;20;124;0
CookieUtil.java;xxl-job;AW-Z3VGarInABnR0cIX4;xxl-job-admin/src/main/java/com/xxl/job/admin/core/util/CookieUtil.java;32;27.5;320.1;7;14;2;74.66;1;1;4;13;1;11;8;5;3;7;7;0;43;46;0
ReturnT.java;xxl-job;AW-Z3VGdrInABnR0cIZA;xxl-job-core/src/main/java/com/xxl/job/core/biz/model/ReturnT.java;32;7.5;756.6;8;7;3;95.86;1;47;2;10;1;0;5;10;0;8;3;0;5;43;0
SpringGlueFactory.java;xxl-job;AW-Z3VGerInABnR0cIZG;xxl-job-core/src/main/java/com/xxl/job/core/glue/impl/SpringGlueFactory.java;32;55;730.8;1;80;1;100;1;1;6;17;2;18;0;1;4;5;4;0;8;61;0
ShardingUtil.java;xxl-job;AW-Z3VGdrInABnR0cIY8;xxl-job-core/src/main/java/com/xxl/job/core/util/ShardingUtil.java;31;0;582;1;46;1;100;1;4;1;2;1;2;0;2;0;1;0;0;4;30;0
ExecutorRouteLRU.java;xxl-job;AW-Z3VGarInABnR0cIXs;xxl-job-admin/src/main/java/com/xxl/job/admin/core/route/strategy/ExecutorRouteLRU.java;29;15;839.1;13;6;3;54.76;2;0;4;10;2;18;1;2;2;7;12;0;17;48;0
FrameLessXxlJobConfig.java;xxl-job;AW-Z3VGXrInABnR0cIWb;xxl-job-executor-samples/xxl-job-executor-sample-frameless/src/main/java/com/xuxueli/executor/sample/frameless/config/FrameLessXxlJobConfig.java;27;17.5;502.8;2;49;1;100;1.5;1;7;10;1;21;0;4;3;7;0;0;13;67;0
PermissionInterceptor.java;xxl-job;AW-Z3VGbrInABnR0cIYQ;xxl-job-admin/src/main/java/com/xxl/job/admin/controller/interceptor/PermissionInterceptor.java;25;27.5;876.3;14;4;2;62.75;3;1;9;7;2;10;0;1;2;6;12;0;7;42;0
JobTriggerPoolHelper.java;xxl-job;AW-Z3VGZrInABnR0cIXb;xxl-job-admin/src/main/java/com/xxl/job/admin/core/thread/JobTriggerPoolHelper.java;24;7.5;1167.3;17;9;2;98.78;3;26;4;8;1;13;0;6;1;8;40;0;29;87;0
